!!ObjTables type='Data' tableFormat='row' class='Regulation' name='Regulations' date='2020-05-28 23:58:52' objTablesVersion='1.0.0' format='row'			
!Reaction	!Regulator	!Regulator compartment	!Type [Ref2, Ref3]
GLCS1	6pgl	c	competitive inhibition
CHORM	chor	c	competitive inhibition
CHORM	cit	c	competitive inhibition
FUM	cit	c	competitive inhibition
PPC	cit	c	competitive inhibition
PPND	cit	c	competitive inhibition
PPND	34hpp	c	competitive inhibition
PPND	amp	c	competitive inhibition
PPND	tyr-L	c	competitive inhibition
CHORM	tyr-L	c	competitive inhibition
ILETA	tyr-L	c	competitive inhibition
ILETA	leu-L	c	competitive inhibition
ASPK	leu-L	c	competitive inhibition
OCBT	leu-L	c	competitive inhibition
PPND	nadh	c	competitive inhibition
PPNDH	cit	c	competitive inhibition
FBA	cit	c	activation
FBA	pep	c	activation
FBA	dhap	c	mixed inhibition
PPCK	dhap	c	competitive inhibition
PPCK	atp	c	competitive inhibition
PPCK	f6p	c	competitive inhibition
PPCK	g3p	c	competitive inhibition
EDA	g3p	c	competitive inhibition
EDA	6pgc	c	competitive inhibition
PGI	6pgc	c	mixed inhibition
PGI	pep	c	competitive inhibition
PPCK	nadh	c	competitive inhibition
PPCK	pep	c	competitive inhibition
PPCK	fdp	c	competitive inhibition
CYSDS	phe-L	c	competitive inhibition
FBP	pep	c	activation
FBP	adp	c	mixed inhibition
FBP	amp	c	mixed inhibition
FBP	fdp	c	competitive inhibition
FBP	g6p	c	competitive inhibition
FBP	pi	c	competitive inhibition
FBP_Glpx	adp	c	mixed inhibition
FBP_Glpx	pep	c	mixed inhibition
FBP_Glpx	pi	c	competitive inhibition
FBP_Glpx	amp	c	mixed inhibition
PPS	pep	c	competitive inhibition
PTAr	pep	c	activation
GLGC	pep	c	competitive inhibition
PTAr	pyr	c	activation
ADK1	amp	c	competitive inhibition
ASNS2	amp	c	competitive inhibition
ASNS2	asp-L	c	competitive inhibition
ASNS2	nh4	c	competitive inhibition
METS	nh4	c	activation
GLGC	amp	c	competitive inhibition
GLUDy	amp	c	activation
GLUDy	atp	c	activation
GLUN	amp	c	activation
GLUPRT	amp	c	competitive inhibition
GLUPRT	adp	c	competitive inhibition
GLUSy	amp	c	competitive inhibition
PPS	amp	c	competitive inhibition
RPI	amp	c	mixed inhibition
GLNS	amp	c	competitive inhibition
GLNS	gly	c	competitive inhibition
GLNS	phom	c	competitive inhibition
GLNS	ser-L	c	competitive inhibition
GLNS	trp-L	c	competitive inhibition
ANPRT	trp-L	c	competitive inhibition
ANS	trp-L	c	competitive inhibition
CYSDS	trp-L	c	competitive inhibition
GLUSy	his-L	c	competitive inhibition
HISTP	his-L	c	competitive inhibition
SERD_L	cys-L	c	competitive inhibition
HSK	pser-L	c	competitive inhibition
ASPT	pser-L	c	competitive inhibition
HSK	lys-L	c	competitive inhibition
ARGDC	lys-L	c	competitive inhibition
ARGDC	agm	c	competitive inhibition
DAPDC	lys-L	c	competitive inhibition
DAPDC	cys-L	c	competitive inhibition
DAPDC	glu-L	c	competitive inhibition
ASPK	glu-L	c	competitive inhibition
GLUN	glu-L	c	activation
GLUSy	glu-L	c	competitive inhibition
PRFGS	glu-L	c	competitive inhibition
OCBT	lys-L	c	competitive inhibition
ASPK	lys-L	c	competitive inhibition
HSK	val-L	c	competitive inhibition
OCBT	val-L	c	competitive inhibition
HSK	thr-L	c	competitive inhibition
HSDy	thr-L	c	competitive inhibition
ASPK	thr-L	c	competitive inhibition
PGCD	thr-L	c	competitive inhibition
GLUSy	cys-L	c	competitive inhibition
PGMT	cys-L	c	activation
PGMT	accoa	c	competitive inhibition
PGMT	g1p	c	competitive inhibition
PGMT	coa	c	competitive inhibition
HSDy	nadp	c	competitive inhibition
HSDy	ser-L	c	competitive inhibition
PGCD	hom-L	c	competitive inhibition
ASPK	succ	c	competitive inhibition
PPS	mal-L	c	competitive inhibition
PPC	mal-L	c	competitive inhibition
ASPT	succ	c	competitive inhibition
GLUSy	asp-L	c	competitive inhibition
PPC	asp-L	c	competitive inhibition
ME1	coa	c	competitive inhibition
ME1	succ	c	competitive inhibition
PPC	accoa	c	activation
KARA1	coa	c	competitive inhibition
KARA1	nadh	c	competitive inhibition
KARA1	nadp	c	competitive inhibition
GND	fdp	c	mixed inhibition
GND	ru5p-D	c	mixed inhibition
P5CR	nadp	c	competitive inhibition
P5CR	nadh	c	competitive inhibition
P5CR	pro-L	c	competitive inhibition
GLU5K	pro-L	c	competitive inhibition
GLU5K	adp	c	competitive inhibition
PYKA	atp	c	mixed inhibition
PYKA	succoa	c	mixed inhibition
PYKF	succoa	c	mixed inhibition
PYKF	atp	c	mixed inhibition
SUCOAS	atp	c	competitive inhibition
SUCOAS	akg	c	competitive inhibition
SUCOAS	nadh	c	competitive inhibition
SUCOAS	succ	c	competitive inhibition
SUCOAS	adp	c	competitive inhibition
GLUSy	atp	c	competitive inhibition
PRAIS	atp	c	competitive inhibition
PRAIS	pi	c	competitive inhibition
SDPTA	akg	c	competitive inhibition
GLUSy	succ	c	competitive inhibition
PPC	succ	c	competitive inhibition
GLUN	adp	c	mixed inhibition
PRPPS	adp	c	competitive inhibition
PRPPS	rib-D	c	competitive inhibition
GLUSy	ser-L	c	competitive inhibition
PGCD	gly	c	competitive inhibition
OCBT	pi	c	competitive inhibition
OCBT	ser-L	c	competitive inhibition
TALA	pi	c	competitive inhibition
