!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:18:40' objTablesVersion='1.0.5' level='1.0' version='0.1'											
!Reference	!QuantityType	!Mean	!Std	!Sign	!Unit	!Compound:SBML:species:id	!Reaction:SBML:reaction:id	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!UseAsPriorInformation
Brenda	inhibitory constant	0.1		0	mM	DHAP	v3	Escherichia coli	R01068	C00111	False
Brenda	inhibitory constant	1.7		0	mM	DHAP	v3	Escherichia coli	R01068	C00111	False
Brenda	inhibitory constant	0.0		0	mM	Pi	v3	Spermophilus lateralis	R01068	C00009	False
Brenda	inhibitory constant	0.0		0	mM	Pi	v3	Spermophilus lateralis	R01068	C00009	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v3	nan	R01068	nan	False
yeastGFP	concentration of enzyme	2910.0		0	molecules/cell	nan	v32	Saccharomyces cerevisiae	R00355	nan	False
yeastGFP	concentration of enzyme	7700.0		0	molecules/cell	nan	v32	Saccharomyces cerevisiae	R00355	nan	False
Brenda	inhibitory constant	0.0		0	mM	Pi	v32	Ovis aries	R00355	C00009	False
Brenda	inhibitory constant	0.0		0	mM	Pi	v32	Ovis aries	R00355	C00009	False
Brenda	inhibitory constant	30.0		0	mM	OG_cyt	v32	Trichomonas vaginalis	R00355	C00026	False
Brenda	inhibitory constant	6.8		0	mM	Glu_cyt	v32	Trichomonas vaginalis	R00355	C00025	False
Brenda	inhibitory constant	2.8		0	mM	Glu_cyt	v32	Trichomonas vaginalis	R00355	C00025	False
Brenda	inhibitory constant	0.0		0	mM	OXA_cyt	v32	Lupinus albus	R00355	C00036	False
Brenda	inhibitory constant	0.0		0	mM	OXA_cyt	v32	Lupinus albus	R00355	C00036	False
Brenda	inhibitory constant	30.0		0	mM	Glu_cyt	v32	Lupinus albus	R00355	C00025	False
Brenda	inhibitory constant	0.0		0	mM	OXA_cyt	v32	Lupinus albus	R00355	C00036	False
Brenda	inhibitory constant	0.0		0	mM	OXA_cyt	v32	Lupinus albus	R00355	C00036	False
Brenda	inhibitory constant	10.5		0	mM	Glu_cyt	v32	Lupinus albus	R00355	C00025	False
Brenda	inhibitory constant	16.0		0	mM	Glu_cyt	v32	Lupinus albus	R00355	C00025	False
Brenda	inhibitory constant	11.1		0	mM	Glu_cyt	v32	Lupinus albus	R00355	C00025	False
Brenda	inhibitory constant	8.9		0	mM	Suc	v32	Lupinus albus	R00355	C00042	False
Brenda	inhibitory constant	10.7		0	mM	Suc	v32	Lupinus albus	R00355	C00042	False
Brenda	inhibitory constant	36.9		0	mM	Suc	v32	Lupinus albus	R00355	C00042	False
Brenda	inhibitory constant	16.8		0	mM	Suc	v32	Lupinus albus	R00355	C00042	False
Brenda	inhibitory constant	6.8		0	mM	Fum	v32	Lupinus albus	R00355	C00122	False
Brenda	inhibitory constant	24.6		0	mM	Fum	v32	Lupinus albus	R00355	C00122	False
Brenda	inhibitory constant	33.7		0	mM	Fum	v32	Lupinus albus	R00355	C00122	False
Brenda	inhibitory constant	44.1		0	mM	Fum	v32	Lupinus albus	R00355	C00122	False
Brenda	inhibitory constant	1.9		0	mM	OG_cyt	v32	Rattus norvegicus	R00355	C00026	False
Brenda	inhibitory constant	17.0		0	mM	OG_cyt	v32	Rattus norvegicus	R00355	C00026	False
Brenda	inhibitory constant	2.5		0	mM	OG_cyt	v32	Rattus norvegicus	R00355	C00026	False
Brenda	inhibitory constant	21.0		0	mM	Asp_cyt	v32	Rattus norvegicus	R00355	C00049	False
Brenda	inhibitory constant	1.0		0	mM	OG_cyt	v32	Rattus norvegicus	R00355	C00026	False
Brenda	inhibitory constant	263.0		0	mM	Asp_cyt	v32	Rattus norvegicus	R00355	C00049	False
NIST	equilibrium constant	0.1		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.1		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.1		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.1		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.1		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.1		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.2		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.2		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.2		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.3		0	dimensionless	nan	v32	nan	R00355	nan	False
NIST	equilibrium constant	0.3		0	dimensionless	nan	v32	nan	R00355	nan	False
yeastGFP	concentration of enzyme	2020.0		0	molecules/cell	nan	v5	Saccharomyces cerevisiae	R01518	nan	False
yeastGFP	concentration of enzyme	172000.0		0	molecules/cell	nan	v5	Saccharomyces cerevisiae	R01518	nan	False
yeastGFP	concentration of enzyme	3730.0		0	molecules/cell	nan	v5	Saccharomyces cerevisiae	R01518	nan	False
NIST	equilibrium constant	8.7		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	9.8		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.0		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.3		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.4		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.4		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.5		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.5		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.6		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.7		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.7		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.8		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.8		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	10.9		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.0		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.1		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.1		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.1		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.3		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.3		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.3		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.4		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.4		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.5		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.6		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.6		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.7		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	11.7		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	4.9		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	5.0		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	5.1		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	5.3		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	5.3		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	5.4		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	5.8		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	6.0		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	6.1		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	6.2		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	6.3		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	6.6		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	6.8		0	dimensionless	nan	v5	nan	R01518	nan	False
NIST	equilibrium constant	9.8		0	dimensionless	nan	v5	nan	R01518	nan	False
yeastGFP	concentration of enzyme	291000.0	24100.0	0	molecules/cell	nan	v6	Saccharomyces cerevisiae	R00200	nan	False
yeastGFP	concentration of enzyme	2130.0		0	molecules/cell	nan	v6	Saccharomyces cerevisiae	R00200	nan	False
Brenda	inhibitory constant	0.8		0	mM	Cit_cyt	v6	Plasmodium falciparum	R00200	C00158	False
Brenda	inhibitory constant	3.7		0	mM	Glu_cyt	v6	nan	R00200	C00025	False
Brenda	inhibitory constant	4.4		0	mM	Glu_cyt	v6	nan	R00200	C00025	False
Brenda	inhibitory constant	13.6		0	mM	Glu_cyt	v6	nan	R00200	C00025	False
Brenda	inhibitory constant	19.2		0	mM	Glu_cyt	v6	nan	R00200	C00025	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v6	nan	R00200	nan	False
yeastGFP	concentration of enzyme	7130.0		0	molecules/cell	nan	v24	Saccharomyces cerevisiae	R00331	nan	False
Brenda	inhibitory constant	1.9		0	mM	GDP	v24	Mycobacterium tuberculosis	R00331	C00035	False
yeastGFP	concentration of enzyme	123000.0		0	molecules/cell	nan	hidden_1	Saccharomyces cerevisiae	R00127	nan	False
yeastGFP	concentration of enzyme	704.0		0	molecules/cell	nan	hidden_1	Saccharomyces cerevisiae	R00127	nan	False
Brenda	inhibitory constant	3.3		0	mM	AMP	hidden_1	Oryctolagus cuniculus	R00127	C00020	False
Brenda	inhibitory constant	0.6		0	mM	AMP	hidden_1	Mycobacterium tuberculosis	R00127	C00020	False
yeastGFP	concentration of enzyme	3300.0		0	molecules/cell	nan	v31	Saccharomyces cerevisiae	R00342	nan	False
yeastGFP	concentration of enzyme	28100.0		0	molecules/cell	nan	v31	Saccharomyces cerevisiae	R00342	nan	False
yeastGFP	concentration of enzyme	5260.0		0	molecules/cell	nan	v31	Saccharomyces cerevisiae	R00342	nan	False
Brenda	product catalytic rate constant	2.6		0	1/s	nan	v31	Sulfolobus acidocaldarius	R00342	C00036	False
Brenda	product catalytic rate constant	1.8		0	1/s	nan	v31	Thermoplasma acidophilum	R00342	C00036	False
Brenda	inhibitory constant	1.0		0	mM	AMP	v31	Sus scrofa	R00342	C00020	False
Brenda	inhibitory constant	3.7		0	mM	Mal_cyt	v31	Beggiatoa leptomitiformis	R00342	C00149	False
Brenda	inhibitory constant	0.6		0	mM	OXA_cyt	v31	Aptenia cordifolia	R00342	C00036	False
Brenda	inhibitory constant	0.2		0	mM	OXA_cyt	v31	Aptenia cordifolia	R00342	C00036	False
Brenda	inhibitory constant	0.2		0	mM	OXA_cyt	v31	Mesembryanthemum crystallinum	R00342	C00036	False
Brenda	inhibitory constant	0.8		0	mM	OXA_cyt	v31	Mesembryanthemum crystallinum	R00342	C00036	False
Brenda	substrate catalytic rate constant	76.7		0	1/s	Mal_cyt	nan	Sus scrofa	R00342	C00149	False
NIST	equilibrium constant	0.0		0	dimensionless	nan	v31	nan	R00342	nan	False
Brenda	Michaelis constant	0.1		0	mM	OXA_cyt	v31	nan	R00342	C00036	False
Brenda	Michaelis constant	4.0		0	mM	Mal_cyt	v31	nan	R00342	C00149	False
Brenda	Michaelis constant	1.1		0	mM	NAD	v31	nan	R00342	C00003	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Aquaspirillum arcticum	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Aquaspirillum arcticum	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	NAD	v31	Trichomonas gallinae	R00342	C00003	False
Brenda	Michaelis constant	0.2		0	mM	Mal_cyt	v31	Trichomonas gallinae	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Trichomonas gallinae	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sus scrofa	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Sus scrofa	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Sus scrofa	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sus scrofa	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sus scrofa	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sus scrofa	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sus scrofa	R00342	C00036	False
Brenda	Michaelis constant	0.7		0	mM	Mal_cyt	v31	Beggiatoa leptomitiformis	R00342	C00149	False
Brenda	Michaelis constant	0.5		0	mM	NAD	v31	Beggiatoa leptomitiformis	R00342	C00003	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Beggiatoa leptomitiformis	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Salinibacter ruber	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Plasmodium falciparum	R00342	C00004	False
Brenda	Michaelis constant	0.2		0	mM	NAD	v31	Plasmodium falciparum	R00342	C00003	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Hoplias malabaricus	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	OXA_cyt	v31	Aptenia cordifolia	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Aptenia cordifolia	R00342	C00004	False
Brenda	Michaelis constant	2.3		0	mM	Mal_cyt	v31	Aptenia cordifolia	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Aptenia cordifolia	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	NAD	v31	Aptenia cordifolia	R00342	C00003	False
Brenda	Michaelis constant	0.1		0	mM	NAD	v31	Aptenia cordifolia	R00342	C00003	False
Brenda	Michaelis constant	2.1		0	mM	Mal_cyt	v31	Aptenia cordifolia	R00342	C00149	False
Brenda	Michaelis constant	0.1		0	mM	NADH_cyt	v31	Corynebacterium glutamicum	R00342	C00004	False
Brenda	Michaelis constant	0.6		0	mM	OXA_cyt	v31	Corynebacterium glutamicum	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Corynebacterium glutamicum	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	NADH_cyt	v31	Corynebacterium glutamicum	R00342	C00004	False
Brenda	Michaelis constant	0.2		0	mM	OXA_cyt	v31	Corynebacterium glutamicum	R00342	C00036	False
Brenda	Michaelis constant	0.4		0	mM	NAD	v31	Corynebacterium glutamicum	R00342	C00003	False
Brenda	Michaelis constant	0.3		0	mM	NADPH	v31	Corynebacterium glutamicum	R00342	C00005	False
Brenda	Michaelis constant	0.8		0	mM	Mal_cyt	v31	Corynebacterium glutamicum	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Talaromyces emersonii	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	NAD	v31	Talaromyces emersonii	R00342	C00003	False
Brenda	Michaelis constant	0.1		0	mM	NAD	v31	Talaromyces emersonii	R00342	C00003	False
Brenda	Michaelis constant	1.3		0	mM	Mal_cyt	v31	Talaromyces emersonii	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sphyraena idiastes	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Sphyraena idiastes	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Sphyraena idiastes	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sphyraena idiastes	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sphyraena idiastes	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Sphyraena idiastes	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Sphyraena idiastes	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Sphyraena idiastes	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	NAD	v31	Saccharomyces cerevisiae	R00342	C00003	False
Brenda	Michaelis constant	0.3		0	mM	Mal_cyt	v31	Saccharomyces cerevisiae	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	Mal_cyt	v31	Saccharomyces cerevisiae	R00342	C00149	False
Brenda	Michaelis constant	0.1		0	mM	Mal_cyt	v31	Saccharomyces cerevisiae	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	Mal_cyt	v31	Saccharomyces cerevisiae	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Saccharomyces cerevisiae	R00342	C00036	False
Brenda	Michaelis constant	0.3		0	mM	NAD	v31	Saccharomyces cerevisiae	R00342	C00003	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Saccharomyces cerevisiae	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Saccharomyces cerevisiae	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Moritella sp.	R00342	C00004	False
Brenda	Michaelis constant	0.4		0	mM	NADH_cyt	v31	Triticum aestivum	R00342	C00004	False
Brenda	Michaelis constant	0.7		0	mM	NAD	v31	Triticum aestivum	R00342	C00003	False
Brenda	Michaelis constant	3.2		0	mM	OXA_cyt	v31	Triticum aestivum	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Euglena gracilis	R00342	C00036	False
Brenda	Michaelis constant	0.7		0	mM	NAD	v31	Euglena gracilis	R00342	C00003	False
Brenda	Michaelis constant	0.7		0	mM	Mal_cyt	v31	Euglena gracilis	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Euglena gracilis	R00342	C00004	False
Brenda	Michaelis constant	0.1		0	mM	OXA_cyt	v31	Aspergillus niger	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	OXA_cyt	v31	Aspergillus niger	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	NADH_cyt	v31	Aspergillus niger	R00342	C00004	False
Brenda	Michaelis constant	0.2		0	mM	NADH_cyt	v31	Aspergillus niger	R00342	C00004	False
Brenda	Michaelis constant	0.1		0	mM	NAD	v31	Dictyostelium discoideum	R00342	C00003	False
Brenda	Michaelis constant	0.2		0	mM	OXA_cyt	v31	Dictyostelium discoideum	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Dictyostelium discoideum	R00342	C00004	False
Brenda	Michaelis constant	1.3		0	mM	Mal_cyt	v31	Dictyostelium discoideum	R00342	C00149	False
Brenda	Michaelis constant	0.3		0	mM	OXA_cyt	v31	Dictyostelium discoideum	R00342	C00036	False
Brenda	Michaelis constant	5.0		0	mM	Mal_cyt	v31	Dictyostelium discoideum	R00342	C00149	False
Brenda	Michaelis constant	0.2		0	mM	NADPH	v31	Sulfolobus acidocaldarius	R00342	C00005	False
Brenda	Michaelis constant	0.1		0	mM	OXA_cyt	v31	Sulfolobus acidocaldarius	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Sulfolobus acidocaldarius	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Thermoplasma acidophilum	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Thermoplasma acidophilum	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Trichomonas vaginalis	R00342	C00004	False
Brenda	Michaelis constant	0.0		0	mM	NAD	v31	Trichomonas vaginalis	R00342	C00003	False
Brenda	Michaelis constant	1.4		0	mM	Mal_cyt	v31	Trichomonas vaginalis	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Trichomonas vaginalis	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Trichomonas vaginalis	R00342	C00036	False
Brenda	Michaelis constant	1.2		0	mM	Mal_cyt	v31	Trichomonas vaginalis	R00342	C00149	False
Brenda	Michaelis constant	0.1		0	mM	NAD	v31	Trichomonas vaginalis	R00342	C00003	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Trichomonas vaginalis	R00342	C00004	False
Brenda	Michaelis constant	1.0		0	mM	Mal_cyt	v31	Trichomonas vaginalis	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Trichomonas vaginalis	R00342	C00036	False
Brenda	Michaelis constant	0.1		0	mM	Mal_cyt	v31	Thermus thermophilus	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Thermus thermophilus	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	OXA_cyt	v31	Thermus thermophilus	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NAD	v31	Thermus thermophilus	R00342	C00003	False
Brenda	Michaelis constant	0.0		0	mM	Mal_cyt	v31	Thermus thermophilus	R00342	C00149	False
Brenda	Michaelis constant	0.0		0	mM	NADH_cyt	v31	Thermus thermophilus	R00342	C00004	False
Brenda	Michaelis constant	0.1		0	mM	OXA_cyt	v31	Rhodobacter capsulatus	R00342	C00036	False
Brenda	Michaelis constant	0.0		0	mM	NAD	v31	Rhodobacter capsulatus	R00342	C00003	False
