!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:15:02' objTablesVersion='1.0.5' ionicStrength='0.1' ionicStrengthUnit='mM' pH='7.0' temperature='298.15' temperatureUnit='kelvin' unit='kJ/mol',,,,,,
!Comment,!QuantityType,!Mean,!Std,!Sign,!Identifiers:kegg.reaction,!UseAsPriorInformation
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00108,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00109,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00111,False
,standard Gibbs energy of reaction,-1.0,0.7,0,R00112,False
,standard Gibbs energy of reaction,-327.5,6.5,0,R00113,False
,standard Gibbs energy of reaction,50.3,1.9,0,R00114,False
,standard Gibbs energy of reaction,17.4,1.6,0,R00115,False
,standard Gibbs energy of reaction,-14.6,5.8,0,R00118,False
,standard Gibbs energy of reaction,-32.7,6.5,0,R00119,False
,standard Gibbs energy of reaction,-117.0,8.4,0,R00120,False
,standard Gibbs energy of reaction,-23.8,0.6,0,R00122,False
,standard Gibbs energy of reaction,-61.5,7.6,0,R00123,False
,standard Gibbs energy of reaction,-36.1,18.3,0,R00125,False
,standard Gibbs energy of reaction,9.7,18.3,0,R00126,False
,standard Gibbs energy of reaction,-2.6,0.3,0,R00127,False
,standard Gibbs energy of reaction,-32.4,5.8,0,R00128,False
,standard Gibbs energy of reaction,-55.4,25.2,0,R00129,False
,standard Gibbs energy of reaction,3.6,5.8,0,R00130,False
,standard Gibbs energy of reaction,-29.9,9.0,0,R00131,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00132,False
,standard Gibbs energy of reaction,-13.1,6.5,0,R00134,False
,standard Gibbs energy of reaction,235.9,11.0,0,R00135,False
,standard Gibbs energy of reaction,1.5,5.8,0,R00137,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00138,False
,standard Gibbs energy of reaction,2.6,17.6,0,R00139,False
,standard Gibbs energy of reaction,-0.1,16.1,0,R00140,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00141,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00143,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00145,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00146,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00148,False
,standard Gibbs energy of reaction,0.0,7.9,0,R00149,False
,standard Gibbs energy of reaction,26.4,7.9,0,R00150,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00152,False
,standard Gibbs energy of reaction,-132.2,7.2,0,R00153,False
,standard Gibbs energy of reaction,-21.2,6.3,0,R00155,False
,standard Gibbs energy of reaction,-2.4,2.5,0,R00156,False
,standard Gibbs energy of reaction,-0.2,2.5,0,R00157,False
,standard Gibbs energy of reaction,-5.2,6.3,0,R00158,False
,standard Gibbs energy of reaction,-24.1,2.5,0,R00159,False
,standard Gibbs energy of reaction,-23.3,9.4,0,R00160,False
,standard Gibbs energy of reaction,-11.1,9.4,0,R00161,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00162,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00164,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00165,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00166,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00167,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00168,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00169,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00170,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00172,False
,standard Gibbs energy of reaction,-12.3,14.6,0,R00173,False
,standard Gibbs energy of reaction,-14.1,3.9,0,R00174,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00175,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00177,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00178,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00179,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00180,False
,standard Gibbs energy of reaction,-31.6,3.8,0,R00181,False
,standard Gibbs energy of reaction,-17.7,3.0,0,R00182,False
,standard Gibbs energy of reaction,-14.2,2.8,0,R00183,False
,standard Gibbs energy of reaction,-33.6,18.3,0,R00184,False
,standard Gibbs energy of reaction,-12.2,2.8,0,R00185,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00187,False
,standard Gibbs energy of reaction,-11.0,6.1,0,R00188,False
,standard Gibbs energy of reaction,-16.4,25.3,0,R00189,False
,standard Gibbs energy of reaction,17.1,2.6,0,R00190,False
,standard Gibbs energy of reaction,-41.5,2.2,0,R00191,False
,standard Gibbs energy of reaction,34.7,5.8,0,R00192,False
,standard Gibbs energy of reaction,-23.3,5.6,0,R00193,False
,standard Gibbs energy of reaction,-15.1,5.4,0,R00194,False
,standard Gibbs energy of reaction,-4.8,7.3,0,R00195,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00196,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00197,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00198,False
,standard Gibbs energy of reaction,3.8,1.0,0,R00199,False
,standard Gibbs energy of reaction,27.7,0.8,0,R00200,False
,standard Gibbs energy of reaction,-29.0,4.1,0,R00203,False
,standard Gibbs energy of reaction,-28.0,4.1,0,R00205,False
,standard Gibbs energy of reaction,19.6,1.0,0,R00206,False
,standard Gibbs energy of reaction,-158.9,10.4,0,R00207,False
,standard Gibbs energy of reaction,-54.1,1.1,0,R00208,False
,standard Gibbs energy of reaction,-35.3,6.4,0,R00209,False
,standard Gibbs energy of reaction,-34.4,6.4,0,R00210,False
,standard Gibbs energy of reaction,-168.8,10.3,0,R00211,False
,standard Gibbs energy of reaction,21.2,3.0,0,R00212,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00213,False
,standard Gibbs energy of reaction,13.0,6.2,0,R00214,False
,standard Gibbs energy of reaction,22.3,10.3,0,R00215,False
,standard Gibbs energy of reaction,14.0,6.2,0,R00216,False
,standard Gibbs energy of reaction,-17.3,6.2,0,R00217,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00218,False
,standard Gibbs energy of reaction,23.0,8.5,0,R00219,False
,standard Gibbs energy of reaction,-28.7,1.8,0,R00220,False
,standard Gibbs energy of reaction,-27.7,5.8,0,R00221,False
,standard Gibbs energy of reaction,-28.9,3.5,0,R00223,False
,standard Gibbs energy of reaction,-18.3,6.5,0,R00224,False
,standard Gibbs energy of reaction,32.2,7.4,0,R00226,False
,standard Gibbs energy of reaction,-30.0,1.0,0,R00227,False
,standard Gibbs energy of reaction,-17.0,2.4,0,R00228,False
,standard Gibbs energy of reaction,3.6,0.8,0,R00229,False
,standard Gibbs energy of reaction,9.8,1.2,0,R00230,False
,standard Gibbs energy of reaction,-17.8,6.3,0,R00233,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00234,False
,standard Gibbs energy of reaction,-4.5,0.8,0,R00235,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00236,False
,standard Gibbs energy of reaction,9.1,30.2,0,R00237,False
,standard Gibbs energy of reaction,26.1,1.7,0,R00238,False
,standard Gibbs energy of reaction,26.4,4.5,0,R00239,False
,standard Gibbs energy of reaction,24.3,4.5,0,R00241,False
,standard Gibbs energy of reaction,38.0,0.6,0,R00243,False
,standard Gibbs energy of reaction,-43.6,4.0,0,R00245,False
,standard Gibbs energy of reaction,38.9,0.7,0,R00248,False
,standard Gibbs energy of reaction,-95.5,8.3,0,R00250,False
,standard Gibbs energy of reaction,-6.9,6.2,0,R00251,False
,standard Gibbs energy of reaction,-15.0,1.6,0,R00253,False
,standard Gibbs energy of reaction,54.9,9.5,0,R00254,False
,standard Gibbs energy of reaction,-11.4,1.7,0,R00256,False
,standard Gibbs energy of reaction,-27.8,25.3,0,R00257,False
,standard Gibbs energy of reaction,-0.2,1.1,0,R00258,False
,standard Gibbs energy of reaction,-27.4,6.5,0,R00259,False
,standard Gibbs energy of reaction,0.6,4.3,0,R00260,False
,standard Gibbs energy of reaction,-25.0,6.9,0,R00261,False
,standard Gibbs energy of reaction,-7.4,4.7,0,R00262,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00263,False
,standard Gibbs energy of reaction,-35.2,4.0,0,R00264,False
,standard Gibbs energy of reaction,-26.3,7.7,0,R00265,False
,standard Gibbs energy of reaction,6.4,6.3,0,R00267,False
,standard Gibbs energy of reaction,-15.5,7.8,0,R00268,False
,standard Gibbs energy of reaction,0.3,4.7,0,R00269,False
,standard Gibbs energy of reaction,41.3,6.4,0,R00270,False
,standard Gibbs energy of reaction,-28.4,5.4,0,R00271,False
,standard Gibbs energy of reaction,-18.9,6.7,0,R00272,False
,standard Gibbs energy of reaction,-165.0,15.4,0,R00273,False
,standard Gibbs energy of reaction,-310.0,6.6,0,R00274,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00275,False
,standard Gibbs energy of reaction,177.8,11.7,0,R00276,False
,standard Gibbs energy of reaction,-96.7,17.0,0,R00277,False
,standard Gibbs energy of reaction,-111.0,16.8,0,R00278,False
,standard Gibbs energy of reaction,-96.1,9.3,0,R00279,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00280,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00281,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00282,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00283,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00284,False
,standard Gibbs energy of reaction,-12.8,4.3,0,R00286,False
,standard Gibbs energy of reaction,-29.6,7.5,0,R00287,False
,standard Gibbs energy of reaction,0.0,1.1,0,R00289,False
,standard Gibbs energy of reaction,2.9,1.6,0,R00291,False
,standard Gibbs energy of reaction,247.2,3.0,0,R00292,False
,standard Gibbs energy of reaction,-56.1,4.9,0,R00293,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00294,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00295,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00296,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00297,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00298,False
,standard Gibbs energy of reaction,-17.3,0.9,0,R00299,False
,standard Gibbs energy of reaction,-3.4,2.2,0,R00300,False
,standard Gibbs energy of reaction,-4.6,4.1,0,R00301,False
,standard Gibbs energy of reaction,-126.4,8.9,0,R00302,False
,standard Gibbs energy of reaction,-9.1,0.9,0,R00303,False
,standard Gibbs energy of reaction,-16.6,1.6,0,R00304,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00305,False
,standard Gibbs energy of reaction,-12.9,3.7,0,R00306,False
,standard Gibbs energy of reaction,-0.1,0.6,0,R00307,False
,standard Gibbs energy of reaction,-272.1,1.6,0,R00308,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00310,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00311,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00312,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00313,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00314,False
,standard Gibbs energy of reaction,13.4,1.1,0,R00315,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00316,False
,standard Gibbs energy of reaction,-39.8,1.3,0,R00317,False
,standard Gibbs energy of reaction,-82.3,13.8,0,R00318,False
,standard Gibbs energy of reaction,-497.7,8.8,0,R00319,False
,standard Gibbs energy of reaction,24.0,1.3,0,R00320,False
,standard Gibbs energy of reaction,-22.8,4.7,0,R00321,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00322,False
,standard Gibbs energy of reaction,-57.2,4.2,0,R00324,False
,standard Gibbs energy of reaction,2.2,2.3,0,R00325,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00326,False
,standard Gibbs energy of reaction,-28.4,4.6,0,R00327,False
,standard Gibbs energy of reaction,-23.0,2.4,0,R00328,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00329,False
,standard Gibbs energy of reaction,-2.5,2.6,0,R00330,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00331,False
,standard Gibbs energy of reaction,-3.4,2.4,0,R00332,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00333,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00334,False
,standard Gibbs energy of reaction,-23.9,2.7,0,R00335,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00336,False
,standard Gibbs energy of reaction,-26.9,6.6,0,R00337,False
,standard Gibbs energy of reaction,-51.1,6.7,0,R00338,False
,standard Gibbs energy of reaction,-35.3,3.9,0,R00339,False
,standard Gibbs energy of reaction,-35.3,3.9,0,R00340,False
,standard Gibbs energy of reaction,10.3,6.2,0,R00341,False
,standard Gibbs energy of reaction,30.3,0.6,0,R00342,False
,standard Gibbs energy of reaction,31.3,0.9,0,R00343,False
,standard Gibbs energy of reaction,-4.2,1.4,0,R00344,False
,standard Gibbs energy of reaction,36.7,6.2,0,R00345,False
,standard Gibbs energy of reaction,21.0,6.2,0,R00346,False
,standard Gibbs energy of reaction,-26.6,4.3,0,R00347,False
,standard Gibbs energy of reaction,-6.9,5.0,0,R00348,False
,standard Gibbs energy of reaction,18.8,5.4,0,R00350,False
,standard Gibbs energy of reaction,34.6,0.9,0,R00351,False
,standard Gibbs energy of reaction,8.2,0.9,0,R00352,False
,standard Gibbs energy of reaction,-0.5,2.9,0,R00353,False
,standard Gibbs energy of reaction,15.4,29.9,0,R00354,False
,standard Gibbs energy of reaction,2.9,1.1,0,R00355,False
,standard Gibbs energy of reaction,-92.6,8.3,0,R00357,False
,standard Gibbs energy of reaction,-97.5,9.1,0,R00359,False
,standard Gibbs energy of reaction,-103.1,8.3,0,R00360,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00361,False
,standard Gibbs energy of reaction,4.6,0.9,0,R00362,False
,standard Gibbs energy of reaction,5.7,5.8,0,R00363,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00364,False
,standard Gibbs energy of reaction,46.0,3.2,0,R00365,False
,standard Gibbs energy of reaction,-87.4,8.8,0,R00366,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00367,False
,standard Gibbs energy of reaction,31.9,7.8,0,R00368,False
,standard Gibbs energy of reaction,-8.3,3.3,0,R00369,False
,standard Gibbs energy of reaction,38.5,4.1,0,R00371,False
,standard Gibbs energy of reaction,8.0,3.2,0,R00372,False
,standard Gibbs energy of reaction,5.2,3.2,0,R00373,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00374,False
,standard Gibbs energy of reaction,187.1,7.3,0,R00375,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00376,False
,standard Gibbs energy of reaction,511.2,9.9,0,R00377,False
,standard Gibbs energy of reaction,691.0,10.3,0,R00378,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00380,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00383,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00384,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00385,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00387,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00388,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00389,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00390,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00391,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00392,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00393,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00394,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00395,False
,standard Gibbs energy of reaction,37.7,1.1,0,R00396,False
,standard Gibbs energy of reaction,-14.2,6.3,0,R00397,False
,standard Gibbs energy of reaction,35.0,5.8,0,R00398,False
,standard Gibbs energy of reaction,34.7,7.2,0,R00399,False
,standard Gibbs energy of reaction,-3.1,1.4,0,R00400,False
,standard Gibbs energy of reaction,0.0,2.0,0,R00401,False
,standard Gibbs energy of reaction,63.2,4.1,0,R00402,False
,standard Gibbs energy of reaction,-1.9,2.6,0,R00405,False
,standard Gibbs energy of reaction,-4.8,7.4,0,R00406,False
,standard Gibbs energy of reaction,-24.5,2.7,0,R00407,False
,standard Gibbs energy of reaction,46.2,7.1,0,R00408,False
,standard Gibbs energy of reaction,9.2,5.9,0,R00409,False
,standard Gibbs energy of reaction,11.2,1.3,0,R00410,False
,standard Gibbs energy of reaction,-2.4,7.0,0,R00411,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00412,False
,standard Gibbs energy of reaction,-23.2,6.6,0,R00414,False
,standard Gibbs energy of reaction,-3.6,10.6,0,R00416,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00417,False
,standard Gibbs energy of reaction,0.0,5.3,0,R00418,False
,standard Gibbs energy of reaction,0.0,5.3,0,R00420,False
,standard Gibbs energy of reaction,-17.0,5.9,0,R00421,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00422,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00423,False
,standard Gibbs energy of reaction,-89.3,14.3,0,R00424,False
,standard Gibbs energy of reaction,-64.3,11.2,0,R00425,False
,standard Gibbs energy of reaction,-31.1,3.7,0,R00426,False
,standard Gibbs energy of reaction,8.3,5.8,0,R00428,False
,standard Gibbs energy of reaction,-5.5,15.9,0,R00429,False
,standard Gibbs energy of reaction,30.1,2.8,0,R00430,False
,standard Gibbs energy of reaction,12.8,6.7,0,R00431,False
,standard Gibbs energy of reaction,0.6,0.9,0,R00432,False
,standard Gibbs energy of reaction,6.9,5.9,0,R00434,False
,standard Gibbs energy of reaction,356.8,2.8,0,R00435,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00436,False
,standard Gibbs energy of reaction,-367.4,2.7,0,R00437,False
,standard Gibbs energy of reaction,-956.1,9.1,0,R00438,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00439,False
,standard Gibbs energy of reaction,-696.5,8.6,0,R00440,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00441,False
,standard Gibbs energy of reaction,686.4,9.3,0,R00442,False
,standard Gibbs energy of reaction,947.8,9.1,0,R00443,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00444,False
,standard Gibbs energy of reaction,18.9,18.6,0,R00445,False
,standard Gibbs energy of reaction,36.1,4.4,0,R00446,False
,standard Gibbs energy of reaction,-104.7,9.2,0,R00447,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00448,False
,standard Gibbs energy of reaction,-469.6,9.6,0,R00449,False
,standard Gibbs energy of reaction,-17.3,7.3,0,R00451,False
,standard Gibbs energy of reaction,39.4,12.8,0,R00452,False
,standard Gibbs energy of reaction,-1.7,4.4,0,R00453,False
,standard Gibbs energy of reaction,-24.6,4.2,0,R00454,False
,standard Gibbs energy of reaction,-1.9,4.4,0,R00457,False
,standard Gibbs energy of reaction,-5.3,10.3,0,R00458,False
,standard Gibbs energy of reaction,-82.3,18.5,0,R00459,False
,standard Gibbs energy of reaction,0.0,5.8,0,R00460,False
,standard Gibbs energy of reaction,-4.6,4.1,0,R00461,False
,standard Gibbs energy of reaction,-25.3,6.9,0,R00462,False
,standard Gibbs energy of reaction,17.6,12.1,0,R00463,False
,standard Gibbs energy of reaction,45.6,1.8,0,R00465,False
,standard Gibbs energy of reaction,-156.9,10.6,0,R00466,False
,standard Gibbs energy of reaction,-7.4,2.6,0,R00468,False
,standard Gibbs energy of reaction,-24.8,9.6,0,R00469,False
,standard Gibbs energy of reaction,17.8,3.0,0,R00470,False
,standard Gibbs energy of reaction,15.4,4.4,0,R00471,False
,standard Gibbs energy of reaction,32.7,4.1,0,R00472,False
,standard Gibbs energy of reaction,13.0,5.8,0,R00473,False
,standard Gibbs energy of reaction,28.0,7.7,0,R00474,False
,standard Gibbs energy of reaction,-88.8,8.4,0,R00475,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00476,False
,standard Gibbs energy of reaction,21.3,10.3,0,R00477,False
,standard Gibbs energy of reaction,1.5,5.4,0,R00478,False
,standard Gibbs energy of reaction,8.6,2.7,0,R00479,False
,standard Gibbs energy of reaction,18.4,5.8,0,R00480,False
,standard Gibbs energy of reaction,-69.3,9.4,0,R00481,False
,standard Gibbs energy of reaction,-10.0,7.0,0,R00482,False
,standard Gibbs energy of reaction,-18.1,7.1,0,R00483,False
,standard Gibbs energy of reaction,-31.5,9.8,0,R00484,False
,standard Gibbs energy of reaction,-16.4,7.0,0,R00485,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00486,False
,standard Gibbs energy of reaction,-18.0,4.7,0,R00487,False
,standard Gibbs energy of reaction,-12.0,4.8,0,R00488,False
,standard Gibbs energy of reaction,-21.0,11.8,0,R00489,False
,standard Gibbs energy of reaction,13.9,0.9,0,R00490,False
,standard Gibbs energy of reaction,4.9,3.9,0,R00491,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00493,False
,standard Gibbs energy of reaction,-3.1,5.2,0,R00494,False
,standard Gibbs energy of reaction,-25.2,15.8,0,R00497,False
,standard Gibbs energy of reaction,-29.0,18.9,0,R00499,False
,standard Gibbs energy of reaction,-16.9,5.0,0,R00501,False
,standard Gibbs energy of reaction,-2.9,3.6,0,R00502,False
,standard Gibbs energy of reaction,-10.0,4.4,0,R00503,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R00504,False
